id,text,true_label,bert_label,bert_prob_fake,bert_prob_real
1,"""You can catch coronavirus from urine and feces""",1,1,0.99838614,0.0016138109
2,"""Recommendation Regarding the Use of Cloth Face Coverings, Especially in Areas of Significant Community-Based Transmission""",0,0,0.00039725399,0.99960274
3,Toddlers to Teens: How to Help Kids Cope with Stress from COVID-19,0,0,0.00026678087,0.99973315
4,How to Keep Your Teeth Healthy During the COVID-19 Outbreak,0,0,0.00024443874,0.99975556
5,Commercial Labs,0,0,0.00036052507,0.9996395
6,Seniors Recruited for Coronavirus Vaccine Trials,0,0,0.00025543763,0.9997446
7,Can you use an expired inhaler? Safety and effects,0,0,0.00057641807,0.9994236
8,Strategies to Allocate Ventilators from Stockpiles to Facilities,0,0,0.00028260227,0.9997174
9,Consuming colloidal silver can prevent or treat novel coronavirus.,1,1,0.9990822,0.0009177466
10,A video says the Vatican confirmed Pope Francis and two aides tested positive for coronavirus.,1,1,0.9992293,0.0007707169
11,A NYC Man With Suspected Coronavirus Drops Dead in the Middle of the Street.,1,1,0.9990939,0.00090607005
12,Can You Develop COVID-19 Twice? Here’s What We Know,0,0,0.0008340605,0.999166
13,"""WHO releases guidelines to help countries maintain essential health services during the COVID-19 pandemic""",0,0,0.00029630214,0.9997037
14,"""Communities, Schools, and Workplaces""",0,0,0.0019755515,0.99802446
15,"ÒDuring the 2009 swine flu outbreak, Biden made reckless comments unsupported by science & the experts. The Obama Admin had to clean up his mess & apologize for his ineptitude.Ó",1,1,0.9992636,0.00073640567
16,New coronavirus stable for hours on surfaces,0,0,0.0002828942,0.99971706
17,"""COVID-19: IFRC, UNICEF and WHO issue guidance to protect children and support safe school operations""",0,0,0.00030190483,0.99969816
18,Coronavirus prevention: How to reduce transmission risk,0,0,0.0002530058,0.999747
19,LGBTQ people in the US are demanding to be treated first for coronavirus.,1,1,0.999148,0.0008520258
20,"""Why do we need it?""",0,0,0.0014127425,0.99858725
21,Trial Drug Can Significantly Block Early Stages of COVID-19 in Engineered Human Tissues,0,0,0.00030611755,0.9996939
22,Experts condemn 'rumors and misinformation' about coronavirus,0,0,0.00035508926,0.9996449
23,How humidity may affect COVID-19 outcome,0,0,0.0002541908,0.9997458
24,"""Novel coronavirus could live up to 3 days, depending on the surface""",0,0,0.055643793,0.94435626
25,Patients on Steroids With COVID-19 Might Need Rescue Steroids,0,0,0.00030862275,0.99969137
26,Massachusetts Community Mitigation,0,0,0.00046405641,0.9995359
27,"""Health System Response Monitor: WHO new tool analyses COVID-19 response measures across European countries""",0,0,0.00028315594,0.9997168
28,Obesity Might Be 'Contagious' Among Teens,0,0,0.0004325956,0.99956745
29,A Òpoll finds 38% of Americans say they will not drink Corona beer because of the virus.Ó,1,1,0.9992704,0.00072965416
30,This Year's Flu Season Taking Deadly Aim at Kids,0,0,0.00046236443,0.9995377
31,How the U.S. Is Preparing for a Major Coronavirus Outbreak,0,0,0.0003002111,0.99969983
32,Medicare Expands Telemedicine During Pandemic,0,0,0.0003263698,0.9996736
33,Evaluation for SARS-CoV-2 Testing in Animals,0,0,0.00028292552,0.99971706
34,Is the flu contagious?,0,0,0.005892077,0.99410796
35,Don’t Fall for These 3 Myths About the New Coronavirus,0,0,0.0008523327,0.99914765
36,"""Yes, Wisconsin is the only state where all Republicans opposed coronavirus bill""",0,0,0.09766635,0.9023337
37,Photo of a mannequin being wheeled into a hospital shows the COVID-19 coverup.,1,1,0.99916124,0.0008387419
38,"""House of Representatives Speaker Nancy Pelosi posted and deleted a video on her Twitter account, in which she calls on people to visit Chinatown in San Francisco.""",1,0,0.4581464,0.54185367
39,"""The virus will die off when temperatures rise in the spring""",1,1,0.9937968,0.006203241
40,"The novel coronavirus contains ÒpShuttle-SNÓ sequence, proving laboratory origin.",1,1,0.99920744,0.0007925342
41,"""Seattle-King, Pierce and Snohomish , Washington Community Mitigation""",0,0,0.0019503346,0.9980496
42,Mayo Clinic in Florida expands specimen testing and processing capabilities for COVID-19,0,0,0.00028734896,0.99971265
43,A poem about people staying home was written by Kathleen OÕMara in 1869.,1,1,0.9985222,0.0014777395
44,Leave objects in the sun to avoid contracting the coronavirus.,1,1,0.999035,0.0009649787
45,"Coronavirus Daily Digest: April 13, 2020",0,0,0.00033841337,0.99966156
46,Media backgrounder: COVID-19 readiness and helping the world respond to the global pandemic,0,0,0.00023343123,0.9997665
47,Pregnancy and mental health during the COVID-19 crisis,0,0,0.00024120935,0.9997588
48,Stores Offer Special Hours for Seniors,0,0,0.0003205659,0.99967945
49,"Trump claims Òit is the decision of the President,Ó not governors, to Òopen up the states.Ó",1,1,0.9992004,0.00079964084
50,Resources to support people experiencing homelessness,0,0,0.00024224115,0.9997577
51,Spread of Coronavirus Cancels Travel and Events,0,0,0.00031020152,0.9996898
52,"Lessons from the Spanish Flu: Early Restrictions Lowered Disease, Mortality Rates",0,0,0.00028942947,0.9997105
53,"ACE inhibitors and angiotensin receptor blockers may increase the risk of severe COVID-19, paper suggests",0,0,0.002636083,0.99736387
